time,x,y,z,phi,theta,psi
33.7550254338895,8.31886686004024,7.50341415231859,2.68685870952495,-0.0435430343660374,0.0273097097076185,0.00235551395500635
33.9273172628749,8.3969513762059,7.5977475968143,2.67445149518335,-0.0250858783605947,-0.0106952432240981,0.00363547389906685
34,8.42960515134802,7.64005417629106,2.66973538217541,-0.0179864058953565,-0.0269748710166573,0.00390635095928596
34.3555141975038,8.55526905560238,7.85446138378407,2.65025604861876,0.00782975960629959,-0.0853388177336521,0.00359352553259177
34.5753812847128,8.58458256270039,7.98406145124504,2.63988030338855,0.015555289842252,-0.0964164490852679,0.00307479307732507
34.7952483719219,8.56871548818603,8.10632470659379,2.63002532471241,0.0177357834781039,-0.0873662152802146,0.00282390782556191
35,8.51760746004588,8.21260692934424,2.62166549134584,0.0161372928120889,-0.0481613942894269,0.00295497245716299
35.2329759477658,8.43693143432836,8.32551864363985,2.61421874387075,0.011902720319879,0.0102921148721101,0.00302298492101511
35.5790169496958,8.33429609282683,8.48238723993727,2.60753073991939,0.00443535618813048,0.0739086322947213,0.00235336189882205
35.8099147097038,8.30923082374377,8.58367005458563,2.60458132831561,0.000387616843387065,0.0885114855004366,0.00164502811781223
36,8.32228787095836,8.66683582470493,2.6024952253162,-0.00188279486433872,0.070468409296616,0.00103694160779278
36.1650482516832,8.35386643608101,8.73956948498221,2.60123216901108,-0.00303048254221659,0.0363710535384893,0.000601571167835208
36.5142922503788,8.44032736282798,8.89627827010375,2.60170296183769,-0.00344241300199962,-0.0385686632522315,-6.66945829132803e-05
36.7405801433501,8.47777982575286,8.99999999999979,2.6039761387691,-0.00279017190550366,-0.0684845956183796,-0.000466882046690692
36.7405801433506,8.4777798257529,9,2.6039761387691,-0.00279017190550196,-0.0684845956184202,-0.000466882046691502
36.740580143351,8.47777982575295,9.00000000000021,2.60397613876911,-0.00279017190550026,-0.0684845956184606,-0.000466882046692309
37,8.47876192888685,9.12059986071466,2.6072413633603,-0.00118822970971871,-0.0792189695186412,-0.000910809417225512
37.259419856649,8.42845714447829,9.24191343888286,2.61069912994597,0.00244428440075018,-0.068269319887502,-0.00125339028505013
37.4790176396169,8.35151892013163,9.34343617546882,2.61412956389605,0.00688233924559369,-0.0290811146332198,-0.00136547859696279
37.6779780287022,8.26968159614096,9.43266057243631,2.61820436952873,0.0113334093325334,0.018238358853576,-0.001212076007751
38,8.15878177372015,9.56699176452974,2.62644504250711,0.0178315564376227,0.076719043344113,-0.000894100797284227
38.2450903924259,8.12262993694702,9.65741140569065,2.63255084192024,0.0211407155492623,0.0932527614577869,-0.0010263575261408
38.4166706197152,8.12912320390223,9.71337406640066,2.6362211111888,0.0223493721805395,0.0813950325150844,-0.00160480614109083
38.5882508470046,8.15860747538246,9.76284964511012,2.63967391508963,0.0226771920645152,0.0477393843805869,-0.00258171313538295
38.9375599842521,8.24846058908456,9.84341183346775,2.64798320672052,0.0209902665102893,-0.0312893755648822,-0.00412283077868442
39,8.26317146826094,9.85508210701771,2.64971259406398,0.0203987144805713,-0.0426364320733762,-0.00424868011269632
39.3122000787394,8.3054918207932,9.90238381985318,2.65859189043239,0.0165767821960683,-0.0771607009152395,-0.00422435903453373
